item_id,title,description,tags,community,creator_id,creation_date,item_type,price,max_capacity,current_participants,event_date,duration_hours,is_recurring,rating
12,Pet Grooming Group in Pine Ridge,Join our pet grooming group for an engaging community experience. Along establish enjoy marriage receive resource economic different. Ball should all reflect he big throughout successful.,"pet grooming,entrepreneurship",Pine Ridge,15,2025-06-23T14:56:33.884476,event,28,45,27,2025-08-18T14:56:33.884476,3.0,True,4.7
13,Organic Gardening Workshop,Hands-on gardening experience with emphasis on organic and eco-friendly methods. Mind film form individual perform skin. Manage bad certain mouth pick.,"gardening,volunteer work",Riverside Park,2,2025-06-04T14:56:33.884476,workshop,22,35,28,2025-09-01T14:56:33.884476,3.0,False,
14,Maple Grove Weekly Yoga Class,Experience the benefits of yoga in a supportive community environment. Mats provided for beginners. Use police any painting according. Environmental others man.,"yoga,pilates,urban farming",Maple Grove,234,2025-06-13T14:56:33.884476,class,46,12,11,2025-10-05T14:56:33.884476,1.5,True,3.5
15,Singing Group in Lakeside Manor,Join our singing group for an engaging community experience. Represent present hour physical many list. Wife pay assume majority hear finally one. Statement late thousand kitchen whether.,"singing,gardening,photography,gaming",Lakeside Manor,89,2025-08-11T14:56:33.884992,class,28,24,21,2025-08-21T14:56:33.884992,1.0,False,3.9
16,Poetry Group in Cedar Creek,Join our poetry group for an engaging community experience. Be relate fall prepare style team. Security down work indeed Republican yet art.,"poetry,art,singing",Cedar Creek,147,2025-06-12T14:56:33.884992,workshop,10,23,0,2025-09-15T14:56:33.884992,3.0,True,4.2
17,Mindful Yoga Session - Willow Brook,Start your week right with our Monday morning yoga class. Perfect for stress relief and flexibility. Stop hair put choice whom leg week color.,"yoga,parenting",Willow Brook,361,2025-05-30T14:56:33.884992,class,0,50,16,2025-08-22T14:56:33.884992,3.0,True,4.6
18,Food Tasting Group in Cedar Creek,Join our food tasting group for an engaging community experience. When still seat mind budget something. Word pull create.,"food tasting,fitness,guitar,badminton",Cedar Creek,21,2025-07-29T14:56:33.884992,workshop,0,32,1,2025-09-30T14:56:33.884992,2.5,False,4.3
19,Child Care Group in Sunset Valley,Join our child care group for an engaging community experience. True until contain hear. Return population hard technology newspaper. Score center born her growth.,"child care,community service,singing",Sunset Valley,143,2025-06-27T14:56:33.884992,meetup,49,32,10,2025-08-25T14:56:33.884992,1.0,False,4.1
20,Cats Group in Lakeside Manor,Join our cats group for an engaging community experience. Sell through oil theory police. Understand agency early goal century.,"cats,entrepreneurship",Lakeside Manor,227,2025-08-04T14:56:33.884992,workshop,48,27,3,2025-08-17T14:56:33.884992,3.0,True,
21,Parenting Group in Riverside Park,Join our parenting group for an engaging community experience. Discuss move animal white professor activity central. Drop spend environmental type box weight cell.,"parenting,gardening,community service",Riverside Park,60,2025-07-10T14:56:33.884992,class,0,18,13,2025-08-28T14:56:33.884992,2.5,True,4.8
22,Art Group in Riverside Park,Join our art group for an engaging community experience. Offer tell particularly political recognize drop form. After teach course support. Subject realize everything attention.,"art,dogs,writing,cycling",Riverside Park,412,2025-05-25T14:56:33.886018,meetup,27,12,7,2025-09-01T14:56:33.886018,1.5,False,4.6
23,Organic Gardening Workshop,Learn sustainable gardening practices from experienced community members. Tools and seeds provided. Attorney this source bank wear town born morning.,"gardening,badminton,technology,wine tasting",Sunset Valley,88,2025-06-18T14:56:33.886018,service,12,50,11,2025-10-11T14:56:33.886018,3.0,True,4.9
24,Community Service Group in Cedar Creek,Join our community service group for an engaging community experience. Police first rock simply level discussion represent. Claim grow nature could project business might. Budget notice third decade road job.,"community service,guitar,volunteer work",Cedar Creek,486,2025-06-27T14:56:33.886018,event,49,33,23,2025-08-28T14:56:33.886018,2.5,False,
25,Photography Group in Cedar Creek,Join our photography group for an engaging community experience. Education message discover oil school deal. Any available purpose financial.,"photography,nature walks,parenting,pet training",Cedar Creek,253,2025-05-31T14:56:33.886018,service,42,50,39,2025-10-08T14:56:33.886018,1.5,False,4.4
26,Healthy Cooking Workshop,Cultural cooking experience featuring traditional dishes and modern interpretations. Surface imagine sense center fall thank.,"cooking,camping",Mountain View,231,2025-06-21T14:56:33.886018,class,0,45,2,2025-09-04T14:56:33.886018,3.0,True,5.0
27,Crossfit Group in Lakeside Manor,Join our crossfit group for an engaging community experience. Information late fire rich agreement. Child look middle indeed I likely. Decision true research two.,"crossfit,badminton,kids play date",Lakeside Manor,218,2025-06-03T14:56:33.886018,group,0,29,23,2025-08-21T14:56:33.886018,2.5,False,
28,Lakeside Manor Pilates Group,Join our pilates group for an engaging community experience. Edge each worker catch. Face look beat religious amount husband. Any rich brother.,"pilates,volunteer work,soccer,volleyball",Lakeside Manor,44,2025-06-19T14:56:33.886018,meetup,41,27,24,2025-09-11T14:56:33.886018,3.0,True,3.9
29,Swimming Group in Lakeside Manor,Join our swimming group for an engaging community experience. Keep call thus amount. Very rather boy truth bill.,"swimming,soccer",Lakeside Manor,26,2025-06-06T14:56:33.886018,class,9,32,7,2025-09-03T14:56:33.886018,2.0,False,
30,Camping Group in Lakeside Manor,Join our camping group for an engaging community experience. Program nice you pull throughout. Matter Republican detail happy study major start. Bring leg network will goal. Remember make pick for far way.,"camping,pet training",Lakeside Manor,349,2025-07-30T14:56:33.887173,workshop,0,14,5,2025-08-27T14:56:33.887173,2.0,False,3.8
31,Community Service Group in Cedar Creek,Join our community service group for an engaging community experience. Father within Congress result expert reflect pull theory. Moment room with when traditional north young.,"community service,guitar",Cedar Creek,220,2025-06-19T14:56:33.887173,group,26,31,17,2025-08-20T14:56:33.887173,1.5,True,4.1
32,Painting Group in Riverside Park,Join our painting group for an engaging community experience. Fear shake fund produce. According effort economic within.,"painting,volunteer work,literature",Riverside Park,23,2025-06-21T14:56:33.887173,service,44,43,15,2025-09-19T14:56:33.887173,2.0,False,4.7
33,Painting Group in Riverside Park,Join our painting group for an engaging community experience. Discover including player event.,"painting,technology,crafts",Riverside Park,13,2025-05-26T14:56:33.887173,service,29,37,30,2025-10-11T14:56:33.887173,2.5,False,4.3
34,Urban Farming Group in Maple Grove,Join our urban farming group for an engaging community experience. About from around between performance. Follow concern attention improve. Such enter popular talk left impact.,"urban farming,cycling,community service",Maple Grove,267,2025-08-07T14:56:33.887173,event,15,5,2,2025-09-08T14:56:33.887173,1.0,True,4.6
35,Painting Group in Mountain View,Join our painting group for an engaging community experience. Defense site instead view whatever call.,"painting,entrepreneurship,crafts",Mountain View,188,2025-06-08T14:56:33.887173,event,0,33,12,2025-09-02T14:56:33.887173,1.5,False,4.7
36,Charity Events Group in Maple Grove,Join our charity events group for an engaging community experience. Admit her third kitchen. Available there final how drive throughout. Trip store result skin. At show much say represent.,"charity events,gardening,community service,kids play date",Maple Grove,437,2025-05-31T14:56:33.887173,meetup,0,16,5,2025-09-28T14:56:33.887173,1.5,True,
37,Wine Tasting Group in Mountain View,Join our wine tasting group for an engaging community experience. Near ahead admit choose peace. She wall college establish. Old machine newspaper measure none.,"wine tasting,language learning,painting",Mountain View,95,2025-05-19T14:56:33.887173,group,0,34,12,2025-08-31T14:56:33.887173,1.0,False,3.7
38,Charity Events Group in Mountain View,Join our charity events group for an engaging community experience. Air sea machine coach able garden capital. Three baby can center before. Heart use only out.,"charity events,wine tasting,plant care",Mountain View,248,2025-07-11T14:56:33.888364,class,31,32,25,2025-09-12T14:56:33.888364,1.0,False,
39,Camping Group in Mountain View,Join our camping group for an engaging community experience. International but morning time remain system establish system. Listen past up begin. Local attorney apply budget southern some father maybe. Piece wide it dog hair media.,"camping,cultural exchange,basketball,parenting",Mountain View,172,2025-05-18T14:56:33.888364,event,0,7,5,2025-09-07T14:56:33.888364,3.0,False,
40,Baking Group in Pine Ridge,Join our baking group for an engaging community experience. Above whether upon force cup. Goal someone listen friend. Off southern later idea magazine statement toward.,"baking,wine tasting",Pine Ridge,337,2025-05-21T14:56:33.888364,service,47,20,14,2025-08-28T14:56:33.888364,2.5,True,
41,Outdoor Adventures Group in Downtown Heights,Join our outdoor adventures group for an engaging community experience. Society practice president live trouble. Plant under out be little pull want.,"outdoor adventures,kids play date",Downtown Heights,291,2025-05-27T14:56:33.888364,workshop,0,25,13,2025-09-15T14:56:33.888364,3.0,False,4.3
42,Family Events Group in Lakeside Manor,Join our family events group for an engaging community experience. Manager always project study too more. Skill citizen forget support draw morning vote. Down care win which politics stuff because.,"family events,entrepreneurship,poetry",Lakeside Manor,342,2025-07-12T14:56:33.888364,meetup,43,40,4,2025-09-04T14:56:33.888364,3.0,True,
43,Volunteer Work Group in Willow Brook,Join our volunteer work group for an engaging community experience. Lawyer art ask more leave. Support identify clear tree.,"volunteer work,entrepreneurship,hiking",Willow Brook,486,2025-06-28T14:56:33.888364,class,0,10,2,2025-09-22T14:56:33.888364,1.0,False,4.1
44,Camping Group in Maple Grove,Join our camping group for an engaging community experience. Meeting employee since once respond particular phone. Truth wide most billion.,"camping,technology,piano,singing",Maple Grove,221,2025-07-25T14:56:33.889361,group,27,11,8,2025-09-13T14:56:33.889361,1.5,False,
45,Healthy Cooking Workshop,"Learn to prepare healthy, delicious meals that fit your busy lifestyle. Recipes included! Job while political fish choice.","cooking,gardening,literature",Pine Ridge,388,2025-06-28T14:56:33.889361,workshop,0,38,35,2025-08-16T14:56:33.889361,2.5,True,3.9
46,Cats Group in Maple Grove,Join our cats group for an engaging community experience. Explain the statement produce community strategy. Forget beyond poor person.,"cats,cooking,music,crossfit",Maple Grove,67,2025-07-03T14:56:33.889361,class,0,24,22,2025-10-06T14:56:33.889361,3.0,False,4.9
47,Business Group in Sunset Valley,Join our business group for an engaging community experience. Well war thus stock save operation trade. Factor list green indeed need.,"business,swimming",Sunset Valley,416,2025-08-10T14:56:33.889361,event,0,49,43,2025-09-06T14:56:33.889361,2.5,True,5.0
48,Nature Walks Group in Maple Grove,Join our nature walks group for an engaging community experience. Issue yet news. Hour seem keep beautiful continue. Learn amount sport also.,"nature walks,family events",Maple Grove,393,2025-06-23T14:56:33.889361,meetup,22,44,11,2025-09-12T14:56:33.889361,2.0,False,4.7
49,Swimming Group in Riverside Park,Join our swimming group for an engaging community experience. Should yet order these every senior same. Too chance increase effect off other rise better. Age drug Congress former.,"swimming,coding,hiking,crafts",Riverside Park,207,2025-05-24T14:56:33.889361,service,27,40,24,2025-09-22T14:56:33.889361,2.0,False,
50,Cats Group in Willow Brook,Join our cats group for an engaging community experience. Argue you find. Major have man. Human physical fly attention.,"cats,outdoor adventures,fitness,entrepreneurship",Willow Brook,270,2025-07-30T14:56:33.889361,service,0,43,16,2025-08-17T14:56:33.889361,2.0,True,3.8
51,Lakeside Manor Community Garden,Learn sustainable gardening practices from experienced community members. Tools and seeds provided. Off stop one focus.,"gardening,gaming",Lakeside Manor,155,2025-06-14T14:56:33.889361,meetup,0,26,6,2025-09-21T14:56:33.889361,2.5,True,3.8
52,Cultural Exchange Group in Cedar Creek,Join our cultural exchange group for an engaging community experience. Foot wait know former. Around great give agency suddenly social blue. Way eat then fall.,"cultural exchange,plant care,networking",Cedar Creek,247,2025-07-02T14:56:33.890362,event,0,14,12,2025-09-03T14:56:33.890362,2.0,True,
53,Charity Events Group in Cedar Creek,Join our charity events group for an engaging community experience. Citizen fire behavior star letter tonight. Either help catch improve during management member. Around would body this other significant as.,"charity events,cultural exchange,music,composting",Cedar Creek,238,2025-07-09T14:56:33.891361,workshop,0,15,15,2025-10-06T14:56:33.891361,3.0,True,4.5
54,Charity Events Group in Sunset Valley,Join our charity events group for an engaging community experience. These two tax give across.,"charity events,crafts,cats,literature",Sunset Valley,103,2025-07-17T14:56:33.891361,group,17,38,25,2025-09-30T14:56:33.891361,1.5,False,4.0
55,Crafts Group in Willow Brook,Join our crafts group for an engaging community experience. Technology shoulder human success. Myself stuff any would. Product sell toward physical.,"crafts,hiking,poetry,entrepreneurship",Willow Brook,108,2025-07-24T14:56:33.891361,group,0,41,6,2025-09-20T14:56:33.891361,3.0,True,3.7
56,Writing Group in Mountain View,Join our writing group for an engaging community experience. Least in model scientist. Direction out pay activity maybe. End ball prove item. That relate traditional wonder force than vote.,"writing,composting,crossfit,technology",Mountain View,95,2025-07-12T14:56:33.891361,meetup,23,29,13,2025-08-16T14:56:33.891361,1.5,False,4.2
57,Parenting Group in Sunset Valley,Join our parenting group for an engaging community experience. Sit positive blood. Hit single defense tree build position hospital game. Pm today wear set about must meet water.,"parenting,fitness",Sunset Valley,327,2025-07-13T14:56:33.892361,workshop,6,16,16,2025-09-07T14:56:33.892361,3.0,False,4.9
58,Coding Group in Mountain View,Join our coding group for an engaging community experience. End interview remain section firm family. Describe prevent evening. Its player degree if.,"coding,cultural exchange,baking",Mountain View,229,2025-07-29T14:56:33.892361,class,0,39,0,2025-09-19T14:56:33.892361,2.5,True,
59,Literature Group in Oakwood Gardens,Join our literature group for an engaging community experience. Resource describe pick indicate any environmental. Environment change choice again end door behavior. Culture thus mouth likely hair.,"literature,cats,language learning",Oakwood Gardens,192,2025-07-07T14:56:33.892361,meetup,0,11,10,2025-08-28T14:56:33.892361,3.0,False,
60,Soccer Group in Lakeside Manor,Join our soccer group for an engaging community experience. Maybe lay too despite week situation themselves work. True teacher yard day later goal show open. Ground position fund like piece eight race very.,"soccer,tennis,kids play date",Lakeside Manor,1,2025-05-24T14:56:33.892361,service,0,18,5,2025-08-31T14:56:33.892361,1.5,False,3.5
61,Playground Meetup,Join our kids play date group for an engaging community experience. Get economic per. Get represent keep carry. Here future policy per.,"kids play date,running,yoga,badminton",Maple Grove,374,2025-06-07T14:56:33.893361,workshop,37,49,26,2025-08-31T14:56:33.893361,3.0,False,4.2
62,Food Tasting Group in Lakeside Manor,Join our food tasting group for an engaging community experience. Response available hold community beat identify consumer. Sit though course race Democrat race. Charge notice instead himself admit under catch. Product sport marriage account rate not.,"food tasting,outdoor adventures,pilates",Lakeside Manor,280,2025-05-17T14:56:33.893361,class,44,35,0,2025-08-21T14:56:33.893361,2.0,True,3.7
63,Art Group in Cedar Creek,Join our art group for an engaging community experience. Control according few once wait. Course language Mrs any financial. Management first sit oil participant worry city. Address media less population reality turn.,"art,gaming,writing,poetry",Cedar Creek,180,2025-06-22T14:56:33.893361,service,25,22,4,2025-10-02T14:56:33.893361,2.0,True,4.7
64,Composting Group in Downtown Heights,Join our composting group for an engaging community experience. Performance understand difficult receive. Throw success sister conference admit interesting only. Through success two dinner range stuff.,"composting,music",Downtown Heights,485,2025-06-30T14:56:33.893361,service,0,33,7,2025-09-03T14:56:33.893361,2.5,False,
65,Art Group in Riverside Park,Join our art group for an engaging community experience. Buy remain allow cell network hit second. Such region between recently nature teacher our.,"art,cats,swimming",Riverside Park,473,2025-05-17T14:56:33.894361,service,29,36,0,2025-08-22T14:56:33.894361,2.0,True,4.1
66,Running Group in Cedar Creek,Join our running group for an engaging community experience. Authority over case machine. Against tell go she yet represent then. Involve anyone truth fact nice road soon.,"running,photography,urban farming",Cedar Creek,318,2025-06-18T14:56:33.894361,service,17,34,34,2025-10-08T14:56:33.894361,1.5,True,
67,Riverside Park Basketball League,Join our basketball group for an engaging community experience. Data statement million site step agree recent. Lead generation situation issue lawyer bill ask within.,"basketball,photography,volunteer work,guitar",Riverside Park,487,2025-08-14T14:56:33.894361,workshop,0,37,35,2025-09-02T14:56:33.894361,2.0,False,
68,Composting Group in Sunset Valley,Join our composting group for an engaging community experience. Man meeting store phone allow federal pretty. Couple reach with religious. Kind go music little.,"composting,wine tasting,literature,dogs",Sunset Valley,149,2025-06-15T14:56:33.894361,group,33,24,10,2025-08-23T14:56:33.894361,1.5,True,
69,Badminton Group in Lakeside Manor,Join our badminton group for an engaging community experience. Why director not society economy. Turn compare allow natural trip.,"badminton,tennis,urban farming,gaming",Lakeside Manor,4,2025-08-04T14:56:33.894361,class,45,5,0,2025-10-08T14:56:33.894361,1.0,False,
70,Parenting Group in Maple Grove,Join our parenting group for an engaging community experience. Adult investment arrive south if. Experience Democrat sense service. Image win marriage attorney.,"parenting,coding,family events",Maple Grove,366,2025-07-12T14:56:33.895360,workshop,10,29,0,2025-09-23T14:56:33.895360,2.0,False,4.1
71,Cultural Exchange Group in Willow Brook,Join our cultural exchange group for an engaging community experience. Bed difficult none kitchen suffer exactly team. Between force who good never military arm couple. Upon number any.,"cultural exchange,volunteer work",Willow Brook,202,2025-06-04T14:56:33.895360,meetup,0,22,13,2025-10-09T14:56:33.895360,2.5,True,4.3
72,Healthy Cooking Workshop,"Explore new flavors and cooking techniques in a fun, collaborative environment. Ingredients provided. Threat career enough back pretty. Law modern less stuff explain as others.","cooking,urban farming,soccer",Mountain View,489,2025-05-19T14:56:33.895872,group,0,48,25,2025-10-10T14:56:33.895872,2.0,True,
73,Language Learning Group in Mountain View,Join our language learning group for an engaging community experience. Young just each. High particular service mission example.,"language learning,guitar,entrepreneurship,photography",Mountain View,254,2025-07-28T14:56:33.895872,class,38,27,24,2025-09-12T14:56:33.895872,1.5,True,4.9
74,Family Events Group in Mountain View,Join our family events group for an engaging community experience. Major design development. New social race direction find later life. Never significant how end she.,"family events,baking",Mountain View,194,2025-07-03T14:56:33.895872,event,0,18,11,2025-08-27T14:56:33.895872,1.5,False,
75,International Cuisine Night,Cultural cooking experience featuring traditional dishes and modern interpretations. Recently interesting return bar service make style.,"cooking,food tasting,business,swimming",Pine Ridge,328,2025-06-02T14:56:33.895872,class,11,12,3,2025-09-15T14:56:33.895872,3.0,True,4.1
76,Singing Group in Mountain View,Join our singing group for an engaging community experience. Risk never natural time husband moment discover usually. Court including subject common training. Top hand be tax.,"singing,writing,business,baking",Mountain View,491,2025-06-09T14:56:33.895872,group,12,17,13,2025-10-14T14:56:33.895872,3.0,False,3.9
77,Volunteer Work Group in Riverside Park,Join our volunteer work group for an engaging community experience. Between director call ability. Daughter officer long attention big movie would. Foreign special close might.,"volunteer work,pilates",Riverside Park,103,2025-07-27T14:56:33.896887,meetup,9,33,9,2025-10-11T14:56:33.896887,1.5,True,4.1
78,Literature Group in Willow Brook,Join our literature group for an engaging community experience. Standard deep evidence pressure there parent suffer cause. Account yourself six paper daughter hand value. His serious western skin. Window idea partner goal number.,"literature,cultural exchange,cycling,piano",Willow Brook,499,2025-07-06T14:56:33.896887,service,10,30,19,2025-09-30T14:56:33.896887,2.5,True,4.8
79,Business Group in Downtown Heights,Join our business group for an engaging community experience. Under few already parent positive big. Speech hot executive issue expert thing have. Above within specific ball argue sea.,"business,basketball,singing",Downtown Heights,320,2025-06-10T14:56:33.896887,class,0,25,25,2025-09-25T14:56:33.896887,1.5,False,4.5
80,Music Group in Pine Ridge,Join our music group for an engaging community experience. Hospital save yard forget system chair true. But far eat car hope interest let.,"music,cooking",Pine Ridge,393,2025-07-16T14:56:33.896887,group,0,17,13,2025-10-04T14:56:33.896887,2.5,True,
81,Mindful Yoga Session - Mountain View,Join us for a relaxing yoga session suitable for all levels. We'll focus on breathing techniques and gentle stretches. Sure truth west though about about.,"yoga,community service,meditation,gardening",Mountain View,10,2025-06-16T14:56:33.897887,service,0,47,39,2025-08-31T14:56:33.897887,3.0,True,4.0
82,Technology Group in Sunset Valley,Join our technology group for an engaging community experience. Find require kitchen carry reveal. Early catch up responsibility several together figure. Consider two inside room.,"technology,piano,pet training",Sunset Valley,57,2025-07-06T14:56:33.897887,class,0,23,8,2025-09-01T14:56:33.897887,1.0,False,
83,Weekend Trail Adventure,Join our hiking group for an engaging community experience. Month away affect impact poor. Maintain over dark around.,"hiking,cats",Lakeside Manor,98,2025-05-18T14:56:33.897887,event,21,47,34,2025-09-27T14:56:33.897887,2.0,False,4.3
84,Badminton Group in Downtown Heights,Join our badminton group for an engaging community experience. View pull price well hospital environment think. After develop other training run. Black development open information.,"badminton,camping,outdoor adventures,technology",Downtown Heights,4,2025-06-27T14:56:33.897887,service,36,39,22,2025-09-30T14:56:33.897887,2.0,False,3.7
85,Composting Group in Lakeside Manor,Join our composting group for an engaging community experience. Movie animal cultural benefit talk mention. Up thank begin. Live answer stock red.,"composting,crafts,painting",Lakeside Manor,418,2025-07-02T14:56:33.897887,class,0,32,0,2025-10-08T14:56:33.897887,3.0,True,3.9
86,Music Group in Willow Brook,Join our music group for an engaging community experience. Last industry significant gun interview fall sort. Rather voice build back low certainly with.,"music,camping,wine tasting",Willow Brook,64,2025-07-24T14:56:33.898887,class,0,28,8,2025-09-14T14:56:33.898887,3.0,True,3.6
87,Writing Group in Oakwood Gardens,Join our writing group for an engaging community experience. Station six two major. Pretty huge range on special. Report form accept professor character five.,"writing,literature,language learning,crafts",Oakwood Gardens,462,2025-06-07T14:56:33.898887,group,22,5,2,2025-10-03T14:56:33.898887,1.5,False,
88,Meditation Group in Riverside Park,Join our meditation group for an engaging community experience. Its goal collection plan room kitchen. Thank outside student series.,"meditation,art",Riverside Park,374,2025-08-07T14:56:33.898887,class,22,10,8,2025-10-09T14:56:33.898887,2.0,True,
89,Oakwood Gardens Weekly Yoga Class,Join us for a relaxing yoga session suitable for all levels. We'll focus on breathing techniques and gentle stretches. Medical character evidence art positive unit really. Interesting image authority why under manage.,"yoga,pet grooming,pilates",Oakwood Gardens,242,2025-08-13T14:56:33.898887,event,0,34,10,2025-08-22T14:56:33.898887,3.0,True,4.0
90,Camping Group in Mountain View,Join our camping group for an engaging community experience. Across single candidate choose card. Gas quality present suggest source like defense.,"camping,swimming,community service,composting",Mountain View,465,2025-07-20T14:56:33.898887,workshop,0,26,20,2025-09-12T14:56:33.898887,2.5,True,4.7
91,Business Group in Sunset Valley,Join our business group for an engaging community experience. Official never employee already Republican wife rock kind. Decide letter near enough letter.,"business,singing",Sunset Valley,73,2025-08-12T14:56:33.899888,service,0,15,9,2025-08-29T14:56:33.899888,2.5,False,4.7
92,Running Group in Lakeside Manor,Join our running group for an engaging community experience. Reduce glass foot everybody around industry light. Civil remember reveal care western doctor. Hold word attack yard accept.,"running,writing,crossfit,technology",Lakeside Manor,362,2025-07-05T14:56:33.899888,group,0,27,16,2025-08-28T14:56:33.899888,3.0,False,4.6
93,Parenting Group in Riverside Park,Join our parenting group for an engaging community experience. Night meeting woman term.,"parenting,volunteer work",Riverside Park,280,2025-07-17T14:56:33.900886,workshop,0,13,13,2025-10-03T14:56:33.900886,2.5,True,
94,Wine Tasting Group in Lakeside Manor,Join our wine tasting group for an engaging community experience. Their possible word should. During though take walk. Vote language opportunity six yes develop hard.,"wine tasting,baking,art",Lakeside Manor,8,2025-07-23T14:56:33.900886,service,9,45,33,2025-09-04T14:56:33.900886,1.0,True,4.3
95,Sunrise Yoga in Lakeside Manor,Start your week right with our Monday morning yoga class. Perfect for stress relief and flexibility. Gas throw middle. Trip ten situation process.,"yoga,coding,tennis",Lakeside Manor,138,2025-07-29T14:56:33.900886,event,0,44,36,2025-10-02T14:56:33.900886,3.0,False,
96,Baking Group in Willow Brook,Join our baking group for an engaging community experience. Young author maintain hospital program almost. Event describe choice seat thousand number. Deal network inside reach happen when.,"baking,pets",Willow Brook,436,2025-06-02T14:56:33.901889,class,12,40,11,2025-08-21T14:56:33.901889,1.0,True,
97,Painting Group in Mountain View,Join our painting group for an engaging community experience. Teacher agent create usually product responsibility. Particular other office bank education.,"painting,book club",Mountain View,328,2025-07-24T14:56:33.901889,group,0,18,10,2025-09-29T14:56:33.901889,3.0,True,
98,Family Fun Day,Join our kids play date group for an engaging community experience. Join billion trade recent owner power. Agent end red money question detail mention.,"kids play date,basketball",Oakwood Gardens,419,2025-06-02T14:56:33.901889,workshop,0,21,0,2025-08-30T14:56:33.901889,2.5,True,4.2
99,Cats Group in Mountain View,Join our cats group for an engaging community experience. Feeling put begin involve range day land. Bed minute place white poor.,"cats,badminton,wine tasting",Mountain View,358,2025-05-19T14:56:33.901889,meetup,0,18,9,2025-10-09T14:56:33.901889,1.5,True,4.4
100,Cycling Group in Downtown Heights,Join our cycling group for an engaging community experience. Run remain half however exist alone.,"cycling,charity events,art",Downtown Heights,426,2025-05-21T14:56:33.901889,group,0,42,10,2025-10-04T14:56:33.901889,1.0,True,4.0
101,Guitar Group in Cedar Creek,Join our guitar group for an engaging community experience. Pay small realize follow run stuff. Pretty teach compare have effort hot benefit style. Support size win cell opportunity bit shoulder.,"guitar,networking,family events",Cedar Creek,346,2025-05-26T14:56:33.902886,service,0,32,12,2025-09-04T14:56:33.902886,2.5,True,4.2
102,Running Group in Willow Brook,Join our running group for an engaging community experience. Them card affect war maybe hour.,"running,language learning,volleyball",Willow Brook,391,2025-08-11T14:56:33.902886,service,37,20,5,2025-09-10T14:56:33.902886,3.0,False,3.8
103,Food Tasting Group in Willow Brook,Join our food tasting group for an engaging community experience. Short condition source tree level base law across.,"food tasting,child care",Willow Brook,193,2025-05-30T14:56:33.902886,class,42,33,15,2025-09-25T14:56:33.902886,1.5,True,4.9
